# Выборка справочника побочных эффектов — запасной вариант, когда полный
# ChSe-Decagon_monopharmacy.csv.gz не скачан (python -m scripts.fetch_side_effects).
# Формат тот же: STITCH, Individual Side Effect, Side Effect Name.
# Составлена вручную по инструкциям производителей; полнота — у полного датасета.
STITCH,Individual Side Effect,Side Effect Name
CID000004091,C0011991,Diarrhea
CID000004091,C0027497,Nausea
CID000004091,C0000737,Abdominal pain
CID000004091,C0016204,Flatulence
CID000004091,C0013378,Dysgeusia
CID000004091,C0003123,Anorexia
CID000004091,C0042847,Vitamin B12 deficiency
CID000004091,C0042963,Vomiting
CID000003475,C0020615,Hypoglycemia
CID000003475,C0027497,Nausea
CID000003475,C0018681,Headache
CID000003475,C0012833,Dizziness
CID000003475,C0043094,Weight gain
CID000003475,C0000737,Abdominal pain
CID000003476,C0020615,Hypoglycemia
CID000003476,C0027497,Nausea
CID000003476,C0012833,Dizziness
CID000003476,C0043094,Weight gain
CID000003476,C0344232,Blurred vision
CID000003488,C0020615,Hypoglycemia
CID000003488,C0027497,Nausea
CID000003488,C0043094,Weight gain
CID000003488,C0018681,Headache
CID000003488,C0015230,Rash
CID004369359,C0018681,Headache
CID004369359,C0027497,Nausea
CID004369359,C0011991,Diarrhea
CID004369359,C0000737,Abdominal pain
CID004369359,C0020615,Hypoglycemia
CID011949646,C0032617,Polyuria
CID011949646,C0039971,Thirst
CID011949646,C0020615,Hypoglycemia
CID011949646,C0033774,Pruritus
CID011949646,C0012833,Dizziness
CID009887712,C0032617,Polyuria
CID009887712,C0039971,Thirst
CID009887712,C0020615,Hypoglycemia
CID009887712,C0033774,Pruritus
CID009887712,C0012833,Dizziness
CID000004829,C0085649,Peripheral edema
CID000004829,C0043094,Weight gain
CID000004829,C0018681,Headache
CID000004829,C0231528,Myalgia
CID000041774,C0016204,Flatulence
CID000041774,C0011991,Diarrhea
CID000041774,C0000737,Abdominal pain
CID000041774,C0013395,Dyspepsia
CID000060823,C0231528,Myalgia
CID000060823,C0018681,Headache
CID000060823,C0027497,Nausea
CID000060823,C0003862,Arthralgia
CID000060823,C0917799,Insomnia
CID000060823,C0011991,Diarrhea
CID000060823,C0026821,Muscle cramp
CID000054454,C0231528,Myalgia
CID000054454,C0009806,Constipation
CID000054454,C0018681,Headache
CID000054454,C0000737,Abdominal pain
CID000054454,C0026821,Muscle cramp
CID000446157,C0231528,Myalgia
CID000446157,C0018681,Headache
CID000446157,C0027497,Nausea
CID000446157,C0004093,Asthenia
CID000446157,C0009806,Constipation
CID000002162,C0085649,Peripheral edema
CID000002162,C0018681,Headache
CID000002162,C0016382,Flushing
CID000002162,C0015672,Fatigue
CID000002162,C0030252,Palpitations
CID000002162,C0012833,Dizziness
CID000004485,C0016382,Flushing
CID000004485,C0018681,Headache
CID000004485,C0085649,Peripheral edema
CID000004485,C0030252,Palpitations
CID000004485,C0012833,Dizziness
CID000002520,C0009806,Constipation
CID000002520,C0018681,Headache
CID000002520,C0012833,Dizziness
CID000002520,C0428977,Bradycardia
CID000002520,C0085649,Peripheral edema
CID000004171,C0015672,Fatigue
CID000004171,C0012833,Dizziness
CID000004171,C0428977,Bradycardia
CID000004171,C0013144,Somnolence
CID000004171,C0004093,Asthenia
CID000004171,C0917799,Insomnia
CID000002405,C0015672,Fatigue
CID000002405,C0428977,Bradycardia
CID000002405,C0012833,Dizziness
CID000002405,C0018681,Headache
CID000002405,C0004093,Asthenia
CID000002585,C0012833,Dizziness
CID000002585,C0015672,Fatigue
CID000002585,C0020649,Hypotension
CID000002585,C0428977,Bradycardia
CID000002585,C0011991,Diarrhea
CID000003961,C0012833,Dizziness
